sample_id,degree,train_error,test_error,train_r2,test_r2,error_difference
17,9,5624.958588841009,218737856034.23306,0.9929220832543418,-73438.99358813396,-218737850409.27448
17,10,2960.4437272443365,1238717791670244.2,0.9962748571566002,-415892466.4818653,-1238717791667283.8
18,1,180073.15308456522,1673601.4218272557,0.8073847689370092,0.4380978221307522,-1493528.2687426906
18,2,46240.15307229072,1131729.559339646,0.950539224665963,0.6200282242484918,-1085489.4062673552
18,3,9611.193749985292,5512928.601479353,0.9897193875198309,-0.8509344860778048,-5503317.407729368
18,4,9542.766794883995,4409256.275298765,0.9897925804058442,-0.480382767104121,-4399713.508503881
18,5,9073.939584809823,15641595.630799098,0.9902940613864912,-4.251576949964676,-15632521.691214288
18,6,7979.434453470551,1629777238.3752306,0.9914647986960864,-546.1884570251601,-1629769258.940777
18,7,7763.348788099267,18371550642.79266,0.9916959347074903,-6167.143849776131,-18371542879.44387
18,8,6783.850208960456,2850332780856.6714,0.9927436552694671,-956982.0524324127,-2850332774072.8213
18,9,6777.362846606516,7905713303723.526,0.9927505944759917,-2654297.3681993135,-7905713296946.163
18,10,6416.589333866795,5928720108314548.0,0.9931364958295662,-1990534123.4284632,-5928720108308131.0
19,1,9646697.82762494,2494591.23432634,0.06570506071467763,0.16245515259475773,7152106.593298599
19,2,3752553.886596492,1570251.966197726,0.6365603890273652,0.472796815237743,2182301.920398766
19,3,1180459.0861596377,1357831.7994152077,0.8856710379095741,0.544115680519375,-177372.71325557004
19,4,820424.107993349,860731.6463607338,0.9205408829153114,0.7110142353231101,-40307.53836738481
19,5,5248.213519438008,12247.054038679706,0.9994917038535759,0.995888121121872,-6998.840519241698
19,6,5166.612050493474,12347.257088901497,0.9994996070595056,0.9958544785165214,-7180.645038408023
19,7,5142.982749349031,12335.951188000872,0.9995018955873388,0.9958582744085754,-7192.968438651841
19,8,3666.738642296231,90880.35367046647,0.9996448717044533,0.9694874371000424,-87213.61502817024
19,9,3187.1294911465607,108699.5843234156,0.9996913224600135,0.9635047315518392,-105512.45483226904
19,10,6963.4389643973245,8060741.962047786,0.9993255820902954,-1.7063483602753484,-8053778.523083389
20,1,106707.50568107513,1764304.6053230134,0.8458214011457985,0.4076447431113196,-1657597.0996419382
