,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count
than,1221,124,9.846774193548388,10.703395274887516,3.024837683144253,10.633312665684688
from,3451,148,23.31756756756757,13.47641781796038,8.64888760795772,12.763402723346227
many,729,113,6.451327433628318,9.878813046290569,1.7840159060105192,9.657021389256483
10,874,118,7.406779661016949,10.275519093917067,2.1497052508974934,10.100790151269303
will,1740,136,12.794117647058824,11.729441056766625,4.333753338291423,11.698357694515458
results,1124,109,10.311926605504587,9.336417619089907,2.780204121392277,9.302006379646226
12,822,115,7.147826086956521,10.017332344948588,2.018561485834579,9.834528894061611
example,1214,132,9.196969696969697,11.455816587492723,3.007183714770399,11.3433426849052
search,950,54,17.59259259259259,5.1938704002829015,2.341376907527908,4.4205499975052
best,688,96,7.166666666666667,8.286322694340477,1.6806140912493748,8.148207598412894
parameters,842,106,7.943396226415095,9.1550171890863,2.0690013954741615,9.035745122438534
by,4784,150,31.893333333333334,15.121935168564987,12.010707585435904,12.940910228151354
t,2814,127,22.15748031496063,11.354881834903516,7.042376485937012,10.899573922892381
dataset,958,74,12.945945945945946,6.291314478047128,2.361552871383741,6.195625045556483
process,963,88,10.943181818181818,7.462788079182704,2.3741628487936364,7.43817757919238
figure,1340,84,15.952380952380953,7.216705127205337,3.3249551454997697,7.083162569582123
then,1345,128,10.5078125,11.043808911656523,3.3375651229096652,10.988327675294945
variable,713,97,7.350515463917525,8.367961311420748,1.7436639782988532,8.236961350815458
values,1600,124,12.903225806451612,10.643803811287224,3.9806739708143444,10.633312665684688
0,2917,122,23.90983606557377,11.073289702193428,7.302142020580863,10.45580516087956
they,870,116,7.5,10.087691392460302,2.139617268969577,9.923282646464175
training,1726,73,23.643835616438356,7.056320507706631,4.298445401543715,6.106871293153918
new,792,108,7.333333333333333,9.368421197006402,1.9429016213752046,9.213252627243662
both,706,117,6.034188034188034,10.274747973190635,1.7260100099249993,10.012036398866739
table,855,88,9.715909090909092,7.479687182202153,2.10178733673989,7.43817757919238
use,1582,135,11.718518518518518,11.649892716203405,3.93527805213872,11.609603942112894
et,1802,70,25.742857142857144,7.149939900604531,4.490117058174129,5.840610035946225
al,1049,73,14.36986301369863,6.261747797027707,2.591054460243842,6.106871293153918
gradient,854,49,17.428571428571427,4.905176043892231,2.0992653412579108,3.976781235492379
because,633,106,5.971698113207547,9.26929334845915,1.5419043397405225,9.035745122438534
r,850,98,8.673469387755102,8.401432166733962,2.0891773593299945,8.325715103218021
same,814,126,6.4603174603174605,11.06998695099911,1.9983855219787456,10.810820170489816
e,1452,105,13.82857142857143,8.953119873828438,3.6074186394814327,8.94699137003597
thus,729,86,8.476744186046512,7.332944873287192,1.7840159060105192,7.260670074387252
space,765,66,11.590909090909092,5.600735057255439,1.874807743361768,5.485595026335969
set,1650,125,13.2,10.733528711926498,4.106773744913301,10.722066418087252
error,1554,103,15.087378640776699,8.799501236485334,3.864662178643304,8.769483865230841
k,1579,90,17.544444444444444,7.787603928679804,3.9277120656927824,7.6156850839975085
function,2030,111,18.28828828828829,9.623806977818706,5.0651320280653715,9.479513884451356
between,1219,122,9.991803278688524,10.51732499972462,3.0197936921802944,10.45580516087956
c,1333,110,12.118181818181819,9.39422046155322,3.3073011771259155,9.39076013204879
linear,865,90,9.61111111111111,7.658961737018247,2.1270072915596816,7.6156850839975085
case,787,107,7.355140186915888,9.276206122484878,1.930291643965309,9.124498874841098
where,1307,123,10.626016260162602,10.588202597515078,3.241729294594458,10.544558913282124
i,2132,115,18.53913043478261,9.992069009217804,5.322375567227244,9.834528894061611
if,1808,140,12.914285714285715,12.092573933980262,4.505249031066004,12.053372704125714
distribution,1477,95,15.547368421052632,8.121566305673042,3.670468526530911,8.059453846010328
however,753,96,7.84375,8.254642989500683,1.8445437975780186,8.148207598412894
most,857,115,7.452173913043478,9.999309461910848,2.106831327703848,9.834528894061611
problem,908,99,9.171717171717171,8.473844708554264,2.235453097284784,8.414468855620585
following,686,107,6.411214953271028,9.332123534015642,1.6755701002854166,9.124498874841098
de,781,59,13.23728813559322,5.126683620322862,1.9151596710734342,4.86431875951802
do,714,112,6.375,9.792301398086563,1.7461859737808323,9.56826763685392
s,2143,137,15.642335766423358,11.856622607252323,5.350117517529014,11.787111446918022
selection,688,79,8.708860759493671,6.7050572465047615,1.6806140912493748,6.639393807569303
some,1049,113,9.283185840707965,9.729819706284212,2.591054460243842,9.657021389256483
n,1846,121,15.256198347107437,10.397770659620905,4.601084859381211,10.367051408476996
when,1355,134,10.111940298507463,11.600825137411311,3.362785077729457,11.520850189710329
there,916,116,7.896551724137931,10.065608261092924,2.2556290611406173,9.923282646464175
b,1760,107,16.44859813084112,9.189745673140338,4.384193247931005,9.124498874841098
forecasting,889,42,21.166666666666668,5.241876113374416,2.1875351831271805,3.35550496867443
neural,967,61,15.852459016393443,5.459148354742862,2.384250830721553,5.041826264323148
y,2012,115,17.495652173913044,9.93863890057857,5.019736109389747,9.834528894061611
2020,621,44,14.113636363636363,4.211660730572275,1.5116403939567729,3.533012473479558
l,822,81,10.148148148148149,6.858873356565802,2.018561485834579,6.816901312374431
variance,904,90,10.044444444444444,7.650177710519836,2.2253651153568677,7.6156850839975085
x,3269,118,27.703389830508474,11.1784030424857,8.189884430237518,10.100790151269303
probability,677,77,8.792207792207792,6.526953482242322,1.6528721409476044,6.461886302764174
j,970,74,13.108108108108109,6.295983744105698,2.3918168171674905,6.195625045556483
w,683,66,10.348484848484848,5.575034361195471,1.6680041138394792,5.485595026335969
sample,1910,91,20.98901098901099,8.107827093998967,4.7624925702278755,7.704438836400072
size,1031,101,10.207920792079207,8.623400896368448,2.5456585415682174,8.591976360425713
m,721,86,8.383720930232558,7.335784303462034,1.7638399421546862,7.260670074387252
sampling,1035,54,19.166666666666668,5.3923599790031975,2.555746523496134,4.4205499975052
given,995,116,8.577586206896552,10.031386684041706,2.4548667042169687,9.923282646464175
functions,626,67,9.343283582089553,5.652207288381997,1.5242503713666686,5.574348778738533
see,902,96,9.395833333333334,8.1985018898113,2.2203211243929095,8.148207598412894
you,640,75,8.533333333333333,6.355493223415315,1.5595583081143765,6.284378797959047
so,796,111,7.171171171171171,9.650999145423356,1.952989603303121,9.479513884451356
section,798,81,9.851851851851851,6.861968339402595,1.9580335942670795,6.816901312374431
test,824,91,9.054945054945055,7.762042794955405,2.023605476798537,7.704438836400072
d,982,102,9.627450980392156,8.72838425748915,2.4220807629512398,8.680730112828277
points,927,100,9.27,8.560298043126704,2.2833710114423877,8.50322260802315
large,683,108,6.324074074074074,9.429280600701759,1.6680041138394792,9.213252627243662
standard,774,90,8.6,7.686525755639746,1.8975057026995803,7.6156850839975085
any,664,111,5.981981981981982,9.727475538923933,1.6200861996818756,9.479513884451356
plot,1029,66,15.590909090909092,5.794836999971488,2.5406145506042592,5.485595026335969
been,649,90,7.211111111111111,7.74034522555469,1.5822562674521887,7.6156850839975085
