,gram_count,document_count,Average_freq,maha_dist,mad_z_gram_count,mad_z_document_count,mad_z_Average_freq
one,164,16,10.25,5.712178530206724,109.9435,10.1175,6.239125
elements,95,7,13.571428571428571,2.7026936315346584,63.403,4.047,8.47942857142857
other,152,16,9.5,5.731813474199335,101.84949999999999,10.1175,5.73325
much,30,10,3.0,3.464003547704593,19.5605,6.0705,1.349
by,430,19,22.63157894736842,7.214940280208472,289.3605,12.141,14.5905
s,291,19,15.31578947368421,6.929351082640206,195.605,12.141,9.656
published,12,8,1.5,2.6742082962762694,7.4195,4.7215,0.33725
proceedings,34,6,5.666666666666667,1.7611265604292758,22.258499999999998,3.3725,3.147666666666667
international,25,5,5.0,1.3585595521839893,16.188,2.698,2.698
conference,20,5,4.0,1.3212527781584862,12.8155,2.698,2.0235
2019,50,6,8.333333333333334,1.9309188832724107,33.0505,3.3725,4.9463333333333335
distribution,14,6,2.3333333333333335,1.7654126876339178,8.7685,3.3725,0.8993333333333334
this,578,19,30.42105263157895,7.908554424095652,389.18649999999997,12.141,19.8445
paper,48,9,5.333333333333333,2.95934908707904,31.7015,5.396,2.922833333333333
terms,39,11,3.5454545454545454,3.867548686938902,25.631,6.745,1.716909090909091
provides,30,10,3.0,3.464003547704593,19.5605,6.0705,1.349
some,113,15,7.533333333333333,5.382256306805878,75.544,9.443,4.406733333333333
others,10,4,2.5,0.8963187704492105,6.0705,2.0235,1.01175
sizes,123,16,7.6875,5.794343325392252,82.289,10.1175,4.51071875
standard,82,11,7.454545454545454,3.7360780986845303,54.634499999999996,6.745,4.353590909090909
deviation,18,6,3.0,1.7443227637712917,11.4665,3.3725,1.349
larger,51,15,3.4,5.59328764021762,33.725,9.443,1.6188
another,28,8,3.5,2.585504472457193,18.2115,4.7215,1.68625
above,42,12,3.5,4.298737361553525,27.6545,7.4195,1.68625
example,152,17,8.941176470588236,6.166045769155113,101.84949999999999,10.792,5.356323529411765
if,248,17,14.588235294117647,6.082458073275524,166.6015,10.792,9.165264705882352
three,77,12,6.416666666666667,4.173731412206062,51.262,7.4195,3.653541666666667
it,313,19,16.473684210526315,6.948395952590954,210.444,12.141,10.437
best,62,10,6.2,3.3536304218551196,41.1445,6.0705,3.5074
allocate,17,6,2.8333333333333335,1.7486677593322508,10.792,3.3725,1.2365833333333334
first,69,15,4.6,5.521704254576864,45.866,9.443,2.4282
second,61,14,4.357142857142857,5.108654800104905,40.47,8.7685,2.2643928571428567
since,71,13,5.461538461538462,4.629678735578337,47.214999999999996,8.094,3.0093076923076922
higher,27,10,2.7,3.478721684976106,17.537,6.0705,1.1466500000000002
so,96,13,7.384615384615385,4.556521470962375,64.0775,8.094,4.306423076923077
further,45,9,5.0,2.9665136463845956,29.678,5.396,2.698
reduces,13,9,1.4444444444444444,3.1125252569729787,8.094,5.396,0.29977777777777775
not,369,16,23.0625,5.9530415836786315,248.216,10.1175,14.88115625
such,146,16,9.125,5.743011197455608,97.8025,10.1175,5.4803125
as,598,19,31.473684210526315,8.028221716877129,402.6765,12.141,20.5545
sum,52,9,5.777777777777778,2.951610977710052,34.399499999999996,5.396,3.222611111111111
but,79,14,5.642857142857143,5.043495762449231,52.611,8.7685,3.1316071428571433
subsets,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
defined,17,6,2.8333333333333335,1.7486677593322508,10.792,3.3725,1.2365833333333334
selection,69,11,6.2727272727272725,3.7636614227466896,45.866,6.745,3.556454545454545
provided,34,8,4.25,2.5649546849368043,22.258499999999998,4.7215,2.192125
time,90,11,8.181818181818182,3.7245203015289112,60.030499999999996,6.745,4.8441363636363635
been,58,12,4.833333333333333,4.234628007000348,38.4465,7.4195,2.585583333333333
systems,17,6,2.8333333333333335,1.7486677593322508,10.792,3.3725,1.2365833333333334
8,75,13,5.769230769230769,4.6163952190336275,49.913,8.094,3.216846153846154
14,46,13,3.5384615384615383,4.725839384232604,30.3525,8.094,1.7121923076923076
30,75,10,7.5,3.334278486172846,49.913,6.0705,4.38425
31,24,8,3.0,2.6031401720159586,15.5135,4.7215,1.349
problem,84,13,6.461538461538462,4.588688472979279,55.9835,8.094,3.6838076923076923
current,27,6,4.5,1.7337555192974885,17.537,3.3725,2.36075
methods,78,15,5.2,5.489006836861792,51.9365,9.443,2.8329
assume,25,11,2.272727272727273,3.934273541186202,16.188,6.745,0.8584545454545456
available,73,16,4.5625,5.950410644176648,48.564,10.1175,2.40290625
before,29,10,2.9,3.468829667952046,18.886,6.0705,1.28155
result,50,12,4.166666666666667,4.265250941343207,33.0505,7.4195,2.1359166666666667
easily,14,7,2.0,2.2135290804982004,8.7685,4.047,0.6745
new,79,11,7.181818181818182,3.741481447589383,52.611,6.745,4.169636363636363
more,188,19,9.894736842105264,6.975272319512911,126.1315,12.141,5.9995
29,37,9,4.111111111111111,2.991250274641267,24.282,5.396,2.098444444444444
work,72,11,6.545454545454546,3.7563378105822904,47.8895,6.745,3.740409090909091
dynamic,25,3,8.333333333333334,1.4543941556711901,16.188,1.349,4.9463333333333335
maintain,7,2,3.5,0.327398557299801,4.047,0.6745,1.68625
manner,19,5,3.8,1.3177038226776527,12.141,2.698,1.8885999999999998
address,7,5,1.4,1.3785222738124179,4.047,2.698,0.26979999999999993
study,222,17,13.058823529411764,6.083365117235496,149.0645,10.792,8.133676470588235
there,115,15,7.666666666666667,5.377162802732268,76.893,9.443,4.496666666666667
allocates,7,1,7.0,1.3643281590068304,4.047,0.0,4.047
among,77,12,6.416666666666667,4.173731412206062,51.262,7.4195,3.653541666666667
different,203,16,12.6875,5.674148576688634,136.249,10.1175,7.88321875
minimizes,8,6,1.3333333333333333,1.8150128756359525,4.7215,3.3725,0.22483333333333327
actual,15,5,3.0,1.316933120314868,9.443,2.698,1.349
while,61,12,5.083333333333333,4.22389554629836,40.47,7.4195,2.754208333333333
these,150,16,9.375,5.735444248029973,100.5005,10.1175,5.6489375
steps,25,7,3.5714285714285716,2.1575882153083277,16.188,4.047,1.7344285714285714
ple,11,6,1.8333333333333333,1.7875941634100148,6.745,3.3725,0.5620833333333333
done,31,10,3.1,3.4592578008400032,20.235,6.0705,1.41645
far,24,6,4.0,1.7315286670834846,15.5135,3.3725,2.0235
challenging,11,4,2.75,0.8931690253795873,6.745,2.0235,1.180375
do,50,14,3.5714285714285716,5.1532040353258335,33.0505,8.7685,1.7344285714285714
them,34,10,3.4,3.4455060935456014,22.258499999999998,6.0705,1.6188
well,47,13,3.6153846153846154,4.7215678271127155,31.027,8.094,1.764076923076923
algorithms,63,6,10.5,2.1577778640883496,41.819,3.3725,6.40775
task,37,7,5.285714285714286,2.1431616926573387,24.282,4.047,2.8907142857142856
stream,43,1,43.0,10.789380615720173,28.329,0.0,28.329
quality,21,3,7.0,1.1620097555575348,13.49,1.349,4.047
measured,14,4,3.5,0.9043754228817774,8.7685,2.0235,1.68625
using,277,17,16.294117647058822,6.100600231421202,186.162,10.792,10.315882352941175
computed,12,4,3.0,0.8934707749290605,7.4195,2.0235,1.349
our,126,10,12.6,3.4048763205540977,84.3125,6.0705,7.824199999999999
uses,24,5,4.8,1.348555782610503,15.5135,2.698,2.5631
memory,54,2,27.0,6.16725534692533,35.7485,0.6745,17.537
practical,15,8,1.875,2.6539573180616016,9.443,4.7215,0.5901875
upon,16,8,2.0,2.647568143136568,10.1175,4.7215,0.6745
obtain,53,12,4.416666666666667,4.253428328123724,35.074,7.4195,2.3045416666666667
smallest,30,5,6.0,1.4262672619459456,19.5605,2.698,3.3725
possible,67,11,6.090909090909091,3.768860299802224,44.516999999999996,6.745,3.433818181818182
when,182,18,10.11111111111111,6.548842864841775,122.08449999999999,11.4665,6.145444444444444
minibatch,33,1,33.0,8.159008638164078,21.584,0.0,21.584
multiple,34,9,3.7777777777777777,3.0026077422912807,22.258499999999998,5.396,1.8736111111111111
seen,24,9,2.6666666666666665,3.0484473852543363,15.5135,5.396,1.1241666666666665
42,13,6,2.1666666666666665,1.7722115033939791,8.094,3.3725,0.7869166666666666
made,25,9,2.7777777777777777,3.043320581203494,16.188,5.396,1.199111111111111
respect,30,8,3.75,2.5778603789226726,19.5605,4.7215,1.854875
improve,12,7,1.7142857142857142,2.227881070755732,7.4195,4.047,0.4817857142857142
increases,14,6,2.3333333333333335,1.7654126876339178,8.7685,3.3725,0.8993333333333334
reduction,41,6,6.833333333333333,1.8182242714060823,26.98,3.3725,3.934583333333333
based,165,17,9.705882352941176,6.1419564377639855,110.618,10.792,5.872117647058823
novel,11,6,1.8333333333333333,1.7875941634100148,6.745,3.3725,0.5620833333333333
reducing,9,3,3.0,0.4843484809731123,5.396,1.349,1.349
existing,8,4,2.0,0.9127906897719432,4.7215,2.0235,0.6745
down,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
desired,18,10,1.8,3.5271233491421827,11.4665,6.0705,0.5396
target,26,5,5.2,1.3697841357504765,16.8625,2.698,2.8329
technique,48,8,6.0,2.5453181123448867,31.7015,4.7215,3.3725
independent,28,10,2.8,3.473735826590056,18.2115,6.0705,1.2141
interest,46,9,5.111111111111111,2.963996427172979,30.3525,5.396,2.772944444444444
