,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count,zscore_Average_freq
case,144,15,9.6,5.31592777444828,3.5092382018036767,3.5623921862860053,2.4746537477912867
variance,275,11,25.0,4.539572431925915,4.057261279332031,3.0928663958147458,3.7981833119076995
r,70,15,4.666666666666667,5.517968006612259,2.898226258011967,3.5623921862860053,1.4771894492399755
factor,26,7,3.7142857142857144,2.154497115821596,2.059282284597697,2.408631991843541,1.1615452562092647
optimal,59,8,7.375,2.5580842174043097,2.7534118374382275,2.610777522845187,2.1100453587288848
where,156,18,8.666666666666666,6.595214861285629,3.577040539332365,3.8383983537255593,2.3332189127278853
number,229,17,13.470588235294118,6.081521472197588,3.9022045999160206,3.751869503169961,2.9430831734637857
of,3563,19,187.52631578947367,40.45647549393001,6.2271227949859185,3.9202476248119167,6.584657034875397
strata,414,13,31.846153846153847,5.6633353476398725,4.403796144040793,3.3457600112148747,4.132885938288328
results,194,15,12.933333333333334,5.2673164777927335,3.7617051503740764,3.5623921862860053,2.8868007938873443
experiments,28,7,4.0,2.1493370701826944,2.122057444104133,2.408631991843541,1.264024399341824
real,15,8,1.875,2.6539573180616016,1.593350677881833,2.610777522845187,0.2162696272548135
show,41,9,4.555555555555555,2.977865020229023,2.445105133791752,2.7890825177814342,1.4438664967202068
to,1885,19,99.21052631578948,20.790927204103337,5.687809983650678,3.9202476248119167,5.704240079815639
an,382,18,21.22222222222222,6.690562461300442,4.3356527245624585,3.8383983537255593,3.5716375376033476
offline,31,1,31.0,7.633133917549889,2.2082752245211696,-0.5371699849871888,4.095646988494081
which,275,17,16.176470588235293,6.098703156869712,4.057261279332031,3.751869503169961,3.1962099798067225
was,230,16,14.375,5.671199328396963,3.9058955731218057,3.660093358789312,3.0329424966044565
given,143,13,11.0,4.484930783013207,3.503335202232214,3.3457600112148747,2.6629021665797166
entire,36,10,3.6,3.436746123477122,2.334940118708667,2.94858177084582,1.118328126041808
input,23,6,3.8333333333333335,1.7320671502775518,1.9554286761189623,2.1752721023412476,1.2051714488300582
also,165,15,11.0,5.286612617725695,3.624552637063855,3.5623921862860053,2.6629021665797166
voila,50,1,50.0,12.631239302365303,2.613208361697513,-0.5371699849871888,4.756691918528169
neyman,48,6,8.0,1.9023738903109146,2.5786289886165137,2.1752721023412476,2.2225330059622936
allocation,376,13,28.923076923076923,5.365108470995195,4.322242254334825,3.3457600112148747,3.9997509084149594
only,98,17,5.764705882352941,6.307216806724427,3.1832441543264207,3.751869503169961,1.7693951894026485
under,126,13,9.692307692307692,4.500652077580194,3.3961268289309547,3.3457600112148747,2.487886725457305
