,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count,zscore_Average_freq
their,79,14,5.642857142857143,5.043495762449231,3.0006824336571296,3.4579478277876654,1.7398528262260406
6,136,16,8.5,5.7637004740781,3.4608206234830234,3.660093358789312,2.306366892060224
32,55,9,6.111111111111111,2.9471773064312545,2.693943423876692,2.7890825177814342,1.8500898332592628
machine,66,6,11.0,2.218852140183361,2.8483838231560212,2.1752721023412476,2.6629021665797166
learning,149,7,21.285714285714285,3.7834851705841896,3.5381514867986077,2.408631991843541,3.5757684909768774
probability,41,8,5.125,2.5501296071667268,2.445105133791752,2.610777522845187,1.6067410730826597
version,14,7,2.0,2.2135290804982004,1.5349084025566282,2.408631991843541,0.30551579272135426
weights,27,13,2.076923076923077,4.813470114367191,2.091251248800821,3.3457600112148747,0.3577044623182146
resulting,16,6,2.6666666666666665,1.7536346875965576,1.6480197754293502,2.1752721023412476,0.7033328078503631
like,18,11,1.6363636363636365,3.9717422844832058,1.7477910771611622,3.0928663958147458,0.02802120846638372
here,33,12,2.75,4.3397495914200865,2.2612347816085165,3.224587938285373,0.7458849533387771
assumed,12,6,2.0,1.7796078007700256,1.404330905521504,2.1752721023412476,0.30551579272135426
7,123,16,7.6875,5.794343325392252,3.375714346978915,3.660093358789312,2.1674326645741204
2,763,20,38.15,9.472872362812838,4.921692300318742,3.997897606789944,4.382638691079526
being,37,11,3.3636363636363638,3.876394315539738,2.358149159854792,3.0928663958147458,1.0244180923653736
stratification,114,10,11.4,3.367524159346356,3.311348432055676,2.94858177084582,2.7122944032449756
cation,18,7,2.5714285714285716,2.1886127100317236,1.7477910771611622,2.408631991843541,0.6530423343146643
applications,27,6,4.5,1.7337555192974885,2.091251248800821,2.1752721023412476,1.4268989757042763
usually,22,9,2.4444444444444446,3.0590559080741744,1.9177746099688584,2.7890825177814342,0.5830103769763251
17,45,11,4.090909090909091,3.8424170089236585,2.523959891068996,3.0928663958147458,1.2951006647493215
works,24,7,3.4285714285714284,2.161018136855794,1.991479947069009,2.408631991843541,1.0508593494436729
3,294,18,16.333333333333332,6.519706386062749,4.113853367513584,3.8383983537255593,3.209554697250057
stratify,14,8,1.75,2.660527966493362,1.5349084025566282,2.610777522845187,0.12086382749049658
table,150,14,10.714285714285714,4.886263560282782,3.543817574884676,3.4579478277876654,2.6265096553890785
set,138,13,10.615384615384615,4.48834357827109,3.4731869308536307,3.3457600112148747,2.613685740176397
rows,46,3,15.333333333333334,3.0587866895330187,2.5425777176664672,1.1259562663971225,3.122188662070998
group,46,11,4.181818181818182,3.838435341683104,2.5425777176664672,3.0928663958147458,1.3254938797040963
note,43,10,4.3,3.4086944676993607,2.4854497591456743,2.94858177084582,1.3640319857602803
performed,52,8,6.5,2.5470912895834688,2.6464313261452017,2.610777522845187,1.9354018975988767
budget,43,2,21.5,4.798800402013157,2.4854497591456743,0.5121458509569364,3.589620048663688
characteristics,59,6,9.833333333333334,2.081025506532241,2.7534118374382275,2.1752721023412476,2.507862373857894
once,13,6,2.1666666666666665,1.7722115033939791,1.4721332430501923,2.1752721023412476,0.4162016994869461
final,24,6,4.0,1.7315286670834846,1.991479947069009,2.1752721023412476,1.264024399341824
step,33,6,5.5,1.7553476245529538,2.2612347816085165,2.1752721023412476,1.7043935599592468
assigned,14,6,2.3333333333333335,1.7654126876339178,1.5349084025566282,2.1752721023412476,0.5186808426195055
uniformly,10,1,10.0,2.1318835993066867,1.2498905062421748,-0.5371699849871888,2.531103855624762
determined,17,11,1.5454545454545454,3.9773120430218816,1.6993734988405087,3.0928663958147458,-0.05101948179813843
n,573,19,30.157894736842106,7.879509387969248,4.679112896202117,3.9202476248119167,4.057563050003572
rstrata,9,1,9.0,1.8739755619519085,1.1606420356136578,-0.5371699849871888,2.385407582324746
let,43,11,3.909090909090909,3.8505584836879634,2.4854497591456743,3.0928663958147458,1.2322336748053255
without,39,14,2.7857142857142856,5.20123108951332,2.4027424562373554,3.4579478277876654,0.7637282410802558
replacement,17,6,2.8333333333333335,1.7486677593322508,1.6993734988405087,2.1752721023412476,0.7871666939482935
s1,44,3,14.666666666666666,2.9039902415946752,2.504923651516363,1.1259562663971225,3.0607191817087256
s2,64,8,8.0,2.572022238104344,2.8223178585243596,2.610777522845187,2.2225330059622936
si,26,3,8.666666666666666,1.528797756427766,2.059282284597697,1.1259562663971225,2.3332189127278853
estimated,39,11,3.5454545454545454,3.867548686938902,2.4027424562373554,3.0928663958147458,1.0972157218524452
shown,29,9,3.2222222222222223,3.0240102920092786,2.151782494384479,2.7890825177814342,0.9650233845054753
question,22,9,2.4444444444444446,3.0590559080741744,1.9177746099688584,2.7890825177814342,0.5830103769763251
split,124,8,15.5,3.084713994666865,3.382573307616179,2.610777522845187,3.1371383818736107
minimize,35,7,5.0,2.142113183186786,2.311077216464462,2.408631991843541,1.5725952490042923
follows,22,10,2.2,3.504834378142861,1.9177746099688584,2.94858177084582,0.43731410367630924
see,50,9,5.555555555555555,2.95521987907448,2.613208361697513,2.7890825177814342,1.7182915223043083
i,812,17,47.76470588235294,9.243209925625829,4.97441632924928,3.751869503169961,4.6934465360210185
iσ2,10,1,10.0,2.1318835993066867,1.2498905062421748,-0.5371699849871888,2.531103855624762
theory,37,7,5.285714285714286,2.1431616926573387,2.358149159854792,2.408631991843541,1.6494392182136544
types,27,12,2.25,4.369008882288475,2.091251248800821,3.224587938285373,0.46839036908380643
including,16,9,1.7777777777777777,3.0936757597367044,1.6480197754293502,2.7890825177814342,0.1426412163589021
across,24,9,2.6666666666666665,3.0484473852543363,1.991479947069009,2.7890825177814342,0.7033328078503631
section,70,10,7.0,3.339930936416989,2.898226258011967,2.94858177084582,2.037881040731436
studies,36,7,5.142857142857143,2.142464414433525,2.334940118708667,2.408631991843541,1.611550940935134
they,89,13,6.846153846153846,4.574616567108727,3.101644286548386,3.3457600112148747,2.0071500957436186
very,49,12,4.083333333333333,4.2692814734120805,2.5960951127789156,3.224587938285373,1.2925374840091175
true,30,9,3.3333333333333335,3.0194848219466026,2.1804997194293376,2.7890825177814342,1.0119036575128313
especially,25,7,3.5714285714285716,2.1575882153083277,2.0260593201500083,2.408631991843541,1.1073094572771482
text,8,6,1.3333333333333333,1.8150128756359525,1.0608707338818455,2.1752721023412476,-0.25517579877010677
out,68,11,6.181818181818182,3.766229299622794,2.8736715819355183,3.0928663958147458,1.8659977314428013
little,12,8,1.5,2.6742082962762694,1.404330905521504,2.610777522845187,-0.09230122240765451
say,21,8,2.625,2.6183895465988156,1.8783685741962868,2.610777522845187,0.6815554189819576
bounded,18,2,9.0,1.6894074974933044,1.7477910771611622,0.5121458509569364,2.385407582324746
v,146,13,11.23076923076923,4.4833692231857185,3.5209222078804445,3.3457600112148747,2.691612587760141
general,27,8,3.375,2.589621373931668,2.091251248800821,2.610777522845187,1.0290819605752675
whether,21,9,2.3333333333333335,3.0645363982331473,1.8783685741962868,2.7890825177814342,0.5186808426195055
solution,55,9,6.111111111111111,2.9471773064312545,2.693943423876692,2.7890825177814342,1.8500898332592628
consists,18,11,1.6363636363636365,3.9717422844832058,1.7477910771611622,3.0928663958147458,0.02802120846638372
achieved,43,8,5.375,2.5477284062115975,2.4854497591456743,2.610777522845187,1.6726028354227485
m,110,12,9.166666666666666,4.109231002714732,3.281092465424197,3.224587938285373,2.4107814247507235
find,21,7,3.0,2.173323999807144,1.8783685741962868,2.408631991843541,0.8662073842128154
then,192,16,12.0,5.68085073314828,3.752927071711523,3.660093358789312,2.7832245974537546
multielementssr,9,1,9.0,1.8739755619519085,1.1606420356136578,-0.5371699849871888,2.385407582324746
now,59,10,5.9,3.3602332450890358,2.7534118374382275,2.94858177084582,1.801474509066417
need,36,13,2.769230769230769,4.770444180279595,2.334940118708667,3.3457600112148747,0.7555214774472233
simple,113,16,7.0625,5.820758381497698,3.3038851502038646,3.660093358789312,2.050172993785828
o,42,9,4.666666666666667,2.974835519693766,2.4655176157437917,2.7890825177814342,1.4771894492399755
constant,24,6,4.0,1.7315286670834846,1.991479947069009,2.1752721023412476,1.264024399341824
end,14,6,2.3333333333333335,1.7654126876339178,1.5349084025566282,2.1752721023412476,0.5186808426195055
rate,31,9,3.4444444444444446,3.0150813028256445,2.2082752245211696,2.7890825177814342,1.0572465922702192
order,32,9,3.5555555555555554,3.0108002697333953,2.2351688169768553,2.7890825177814342,1.101149822979372
compared,41,9,4.555555555555555,2.977865020229023,2.445105133791752,2.7890825177814342,1.4438664967202068
clearly,16,6,2.6666666666666665,1.7536346875965576,1.6480197754293502,2.1752721023412476,0.7033328078503631
either,20,11,1.8181818181818181,3.960764461235918,1.8370395477896793,3.0928663958147458,0.17371748176639948
greater,24,9,2.6666666666666665,3.0484473852543363,1.991479947069009,2.7890825177814342,0.7033328078503631
construct,10,6,1.6666666666666667,1.7961627204265262,1.2498905062421748,2.1752721023412476,0.05339505089236146
certain,32,10,3.2,3.4545927585971015,2.2351688169768553,2.94858177084582,0.955453549679356
point,47,9,5.222222222222222,2.9616081366881333,2.5607951296923113,2.7890825177814342,1.6327280104481505
single,33,10,3.3,3.4500087483580897,2.2612347816085165,2.94858177084582,0.99800569516777
increasing,19,9,2.111111111111111,3.0758466960375985,1.7935901773210075,2.7890825177814342,0.38028187181259115
value,134,16,8.375,5.768140351655108,3.448271104905796,3.660093358789312,2.285880063820648
will,143,17,8.411764705882353,6.1850100686233285,3.503335202232214,3.751869503169961,2.2919371721183697
though,9,6,1.5,1.8053051819952584,1.1606420356136578,2.1752721023412476,-0.09230122240765451
limited,13,7,1.8571428571428572,2.220549668372045,1.4721332430501923,2.408631991843541,0.20303664958879517
total,171,17,10.058823529411764,6.132166328429346,3.6548086036953342,3.751869503169961,2.5392143516805046
least,11,6,1.8333333333333333,1.7875941634100148,1.3306255684213535,2.1752721023412476,0.18519336184731613
next,18,9,2.0,3.0816752216258525,1.7477910771611622,2.7890825177814342,0.30551579272135426
right,11,7,1.5714285714285714,2.235520229697045,1.3306255684213535,2.408631991843541,-0.027971688050834977
thus,92,16,5.75,5.884116757478154,3.129726759213972,3.660093358789312,1.7658630403215194
4,207,18,11.5,6.51816317702595,3.816647102493288,3.8383983537255593,2.7243716469419885
observe,20,6,3.3333333333333335,1.7375165661556542,1.8370395477896793,2.1752721023412476,1.0119036575128313
fact,15,8,1.875,2.6539573180616016,1.593350677881833,2.610777522845187,0.2162696272548135
n2,49,8,6.125,2.545452978912006,2.5960951127789156,2.610777522845187,1.8532290755005785
hand,16,6,2.6666666666666665,1.7536346875965576,1.6480197754293502,2.1752721023412476,0.7033328078503631
know,23,9,2.5555555555555554,3.0536926974150895,1.9554286761189623,2.7890825177814342,0.6444798573385971
whereas,15,8,1.875,2.6539573180616016,1.593350677881833,2.610777522845187,0.2162696272548135
equally,9,6,1.5,1.8053051819952584,1.1606420356136578,2.1752721023412476,-0.09230122240765451
equal,67,13,5.153846153846154,4.643551659403844,2.861122063358291,3.3457600112148747,1.6145025655635954
up,25,10,2.5,3.488931128791239,2.0260593201500083,2.94858177084582,0.6140866423838225
factors,38,9,4.222222222222222,2.9877147086844595,2.3807392188685124,2.7890825177814342,1.3387904784330609
always,15,6,2.5,1.7592182807292909,1.593350677881833,2.1752721023412476,0.6140866423838225
senate,17,1,17.0,3.9570952679550113,1.6993734988405087,-0.5371699849871888,3.264875498680694
due,63,12,5.25,4.2169707488085795,2.8089777873834496,3.224587938285373,1.6400640256024277
resources,24,12,2.0,4.384202500891182,1.991479947069009,3.224587938285373,0.30551579272135426
practice,16,8,2.0,2.647568143136568,1.6480197754293502,2.610777522845187,0.30551579272135426
good,24,12,2.0,4.384202500891182,1.991479947069009,3.224587938285373,0.30551579272135426
making,11,8,1.375,2.6813152274307064,1.3306255684213535,2.610777522845187,-0.21262365328169266
problems,26,10,2.6,3.483786900920807,2.059282284597697,2.94858177084582,0.6683224413159391
variances,44,8,5.5,2.5468353700899584,2.504923651516363,2.610777522845187,1.7043935599592468
previous,17,8,2.125,2.6413617586142877,1.6993734988405087,2.610777522845187,0.38934967881928456
approach,66,11,6.0,3.771554291182344,2.8483838231560212,3.0928663958147458,1.8247159908332848
what,28,8,3.5,2.585504472457193,2.122057444104133,2.610777522845187,1.0793724341109665
way,32,11,2.909090909090909,3.8995179600443097,2.2351688169768553,3.0928663958147458,0.8236552387244014
reduce,26,11,2.3636363636363638,3.929140606066816,2.059282284597697,3.0928663958147458,0.5365241303609845
issue,22,6,3.6666666666666665,1.7332456138429237,1.9177746099688584,2.1752721023412476,1.143701968467786
decrease,27,3,9.0,1.6035795331900098,2.091251248800821,1.1259562663971225,2.385407582324746
increase,59,12,4.916666666666667,4.231004639033489,2.7534118374382275,3.224587938285373,1.5493537672374242
simply,18,6,3.0,1.7443227637712917,1.7477910771611622,2.1752721023412476,0.8662073842128154
according,42,10,4.2,3.4124510734897537,2.4655176157437917,2.94858177084582,1.3314931759399595
ones,9,7,1.2857142857142858,2.251709161942617,1.1606420356136578,2.408631991843541,-0.30546627230580553
drawn,54,10,5.4,3.372996349155757,2.6784002903483257,2.94858177084582,1.6790197175332695
keys,8,1,8.0,1.6177985932376384,1.0608707338818455,-0.5371699849871888,2.2225330059622936
strategy,38,6,6.333333333333333,1.790262339467854,2.3807392188685124,2.1752721023412476,1.8994820699245216
instead,12,8,1.5,2.6742082962762694,1.404330905521504,2.610777522845187,-0.09230122240765451
until,12,7,1.7142857142857142,2.227881070755732,1.404330905521504,2.408631991843541,0.09235074282320302
enough,22,9,2.4444444444444446,3.0590559080741744,1.9177746099688584,2.7890825177814342,0.5830103769763251
variable,64,12,5.333333333333333,4.213577745675066,2.8223178585243596,3.224587938285373,1.661841414470833
included,17,7,2.4285714285714284,2.19436137613984,1.6993734988405087,2.408631991843541,0.5740016440501421
di,34,8,4.25,2.5649546849368043,2.2865225403880136,2.610777522845187,1.347858285439754
respectively,43,11,3.909090909090909,3.8505584836879634,2.4854497591456743,3.0928663958147458,1.2322336748053255
0,123,14,8.785714285714286,4.926689594567507,3.375714346978915,3.4579478277876654,2.352084629804978
sr,19,2,9.5,1.8137168446642986,1.7935901773210075,0.5121458509569364,2.460173661415983
e,119,14,8.5,4.934734604800614,3.347709250610301,3.4579478277876654,2.306366892060224
d,64,12,5.333333333333333,4.213577745675066,2.8223178585243596,3.224587938285373,1.661841414470833
independently,12,9,1.3333333333333333,3.1190320169440633,1.404330905521504,2.7890825177814342,-0.25517579877010677
ni,56,7,8.0,2.2207576467795067,2.709206485651638,2.408631991843541,2.2225330059622936
selected,318,14,22.714285714285715,5.180770418470365,4.180324868931129,3.4579478277876654,3.6655945833185233
process,42,12,3.5,4.298737361553525,2.4655176157437917,3.224587938285373,1.0793724341109665
vary,15,10,1.5,3.544640768269513,1.593350677881833,2.94858177084582,-0.09230122240765451
dev,38,6,6.333333333333333,1.790262339467854,2.3807392188685124,2.1752721023412476,1.8994820699245216
sampled,22,6,3.6666666666666665,1.7332456138429237,1.9177746099688584,2.1752721023412476,1.143701968467786
βelements,8,1,8.0,1.6177985932376384,1.0608707338818455,-0.5371699849871888,2.2225330059622936
evicting,8,1,8.0,1.6177985932376384,1.0608707338818455,-0.5371699849871888,2.2225330059622936
9,54,13,4.153846153846154,4.69264456822564,2.6784002903483257,3.3457600112148747,1.3162130689386846
10,101,16,6.3125,5.8556690308191355,3.2087860997576385,3.660093358789312,1.8949257705358407
11,116,16,7.25,5.81257650015209,3.326080577479488,3.660093358789312,2.086406567488397
amount,20,6,3.3333333333333335,1.7375165661556542,1.8370395477896793,2.1752721023412476,1.0119036575128313
get,43,9,4.777777777777778,2.9719335437816876,2.4854497591456743,2.7890825177814342,1.5097282590602963
takes,6,6,1.0,1.8360875757937958,0.8171818639739992,2.1752721023412476,-0.6529928138991155
special,9,6,1.5,1.8053051819952584,1.1606420356136578,2.1752721023412476,-0.09230122240765451
use,125,18,6.944444444444445,6.669350030669542,3.3893771756053472,3.8383983537255593,2.026862371966776
lemma,11,1,11.0,2.390962590857764,1.3306255684213535,-0.5371699849871888,2.6629021665797166
cost,156,12,13.0,4.1101115966876804,3.577040539332365,3.224587938285373,2.8939105042193467
expected,22,9,2.4444444444444446,3.0590559080741744,1.9177746099688584,2.7890825177814342,0.5830103769763251
low,16,7,2.2857142857142856,2.2004321166318164,1.6480197754293502,2.408631991843541,0.49016775795221196
still,22,9,2.4444444444444446,3.0590559080741744,1.9177746099688584,2.7890825177814342,0.5830103769763251
because,64,13,4.923076923076923,4.654339988723543,2.8223178585243596,3.3457600112148747,1.551155507705241
necessary,16,7,2.2857142857142856,2.2004321166318164,1.6480197754293502,2.408631991843541,0.49016775795221196
reduced,12,6,2.0,1.7796078007700256,1.404330905521504,2.1752721023412476,0.30551579272135426
affect,7,6,1.1666666666666667,1.825276782848588,0.9477593610091233,2.1752721023412476,-0.43982776400096424
parameters,89,13,6.846153846153846,4.574616567108727,3.101644286548386,3.3457600112148747,2.0071500957436186
program,32,4,8.0,1.4511848556585465,2.2351688169768553,1.5614616869010618,2.2225330059622936
subject,14,6,2.3333333333333335,1.7654126876339178,1.5349084025566282,2.1752721023412476,0.5186808426195055
approaches,45,7,6.428571428571429,2.1611225081377246,2.523959891068996,2.408631991843541,1.920121790597602
application,15,7,2.142857142857143,2.206822273529007,1.593350677881833,2.408631991843541,0.40092159248567116
items,15,8,1.875,2.6539573180616016,1.593350677881833,2.610777522845187,0.2162696272548135
would,113,14,8.071428571428571,4.947783276123434,3.3038851502038646,3.4579478277876654,2.2348249590166858
min,21,3,7.0,1.1620097555575348,1.8783685741962868,1.1259562663971225,2.037881040731436
required,31,10,3.1,3.4592578008400032,2.2082752245211696,2.94858177084582,0.9115503189702033
direct,8,6,1.3333333333333333,1.8150128756359525,1.0608707338818455,2.1752721023412476,-0.25517579877010677
implementation,6,6,1.0,1.8360875757937958,0.8171818639739992,2.1752721023412476,-0.6529928138991155
apply,16,6,2.6666666666666665,1.7536346875965576,1.6480197754293502,2.1752721023412476,0.7033328078503631
overall,22,10,2.2,3.504834378142861,1.9177746099688584,2.94858177084582,0.43731410367630924
search,14,6,2.3333333333333335,1.7654126876339178,1.5349084025566282,2.1752721023412476,0.5186808426195055
feasible,18,2,9.0,1.6894074974933044,1.7477910771611622,0.5121458509569364,2.385407582324746
ways,13,6,2.1666666666666665,1.7722115033939791,1.4721332430501923,2.1752721023412476,0.4162016994869461
oversized,23,1,23.0,5.530933502877365,1.9554286761189623,-0.5371699849871888,3.6828802535624585
impact,26,5,5.2,1.3697841357504765,2.059282284597697,1.899265934901694,1.6268310479364088
last,17,9,1.8888888888888888,3.08761846323912,1.6993734988405087,2.7890825177814342,0.22647510245683236
l,214,11,19.454545454545453,4.066621312358844,3.8448185304764144,3.0928663958147458,3.451374939955783
consideration,16,7,2.2857142857142856,2.2004321166318164,1.6480197754293502,2.408631991843541,0.49016775795221196
j,98,8,12.25,2.7921037027522986,3.1832441543264207,2.610777522845187,2.8117376821210485
again,19,8,2.375,2.6295024999199064,1.7935901773210075,2.610777522845187,0.5431564481750432
statement,15,6,2.5,1.7592182807292909,1.593350677881833,2.1752721023412476,0.6140866423838225
clear,16,8,2.0,2.647568143136568,1.6480197754293502,2.610777522845187,0.30551579272135426
corresponding,25,12,2.0833333333333335,4.379096566505573,2.0260593201500083,3.224587938285373,0.36196590055482963
20,98,12,8.166666666666666,4.126488740240285,3.1832441543264207,3.224587938285373,2.251046090629587
24,33,11,3.0,3.8947786657050476,2.2612347816085165,3.0928663958147458,0.8662073842128154
50,66,16,4.125,5.976925161641767,2.8483838231560212,3.660093358789312,1.306576544830238
45,38,6,6.333333333333333,1.790262339467854,2.3807392188685124,2.1752721023412476,1.8994820699245216
60,63,8,7.875,2.568833043541426,2.8089777873834496,2.610777522845187,2.2007556170938884
formula,21,8,2.625,2.6183895465988156,1.8783685741962868,2.610777522845187,0.6815554189819576
therefore,61,13,4.6923076923076925,4.665454621109996,2.7816503526593803,3.3457600112148747,1.4847666496418193
becomes,13,6,2.1666666666666665,1.7722115033939791,1.4721332430501923,2.1752721023412476,0.4162016994869461
numbers,29,5,5.8,1.4104754964035122,2.151782494384479,1.899265934901694,1.7778357178259292
q,76,5,15.2,2.815149798648054,2.967888260416017,1.899265934901694,3.110111418373984
x,114,12,9.5,4.105075619498473,3.311348432055676,3.224587938285373,2.460173661415983
y,299,13,23.0,4.8715671021350655,4.128138309929824,3.3457600112148747,3.6828802535624585
z,171,4,42.75,8.912742664036642,3.6548086036953342,1.5614616869010618,4.540065451019374
12,127,16,7.9375,5.784466999792566,3.402823124755332,3.660093358789312,2.211687180846808
exist,10,6,1.6666666666666667,1.7961627204265262,1.2498905062421748,2.1752721023412476,0.05339505089236146
13,69,13,5.3076923076923075,4.636541846979512,2.8860378893061256,3.3457600112148747,1.6551771335559275
procedure,75,12,6.25,4.179341758304118,2.9566685333371714,3.224587938285373,1.8811660986667602
w,133,11,12.090909090909092,3.734267380752845,3.4419259290907998,3.0928663958147458,2.7936611421881725
similar,42,12,3.5,4.298737361553525,2.4655176157437917,3.224587938285373,1.0793724341109665
provide,33,11,3.0,3.8947786657050476,2.2612347816085165,3.0928663958147458,0.8662073842128154
linear,8,6,1.3333333333333333,1.8150128756359525,1.0608707338818455,2.1752721023412476,-0.25517579877010677
21,48,11,4.363636363636363,3.830651073300935,2.5786289886165137,3.0928663958147458,1.3843468302158621
require,12,7,1.7142857142857142,2.227881070755732,1.404330905521504,2.408631991843541,0.09235074282320302
just,16,11,1.4545454545454546,3.9829353987485723,1.6480197754293502,3.0928663958147458,-0.13485336789606855
27,29,8,3.625,2.5815838422813266,2.151782494384479,2.610777522845187,1.1278979608679276
43,25,9,2.7777777777777777,3.043320581203494,2.0260593201500083,2.7890825177814342,0.7597829156838382
those,40,10,4.0,3.420216215590145,2.424188589337184,2.94858177084582,1.264024399341824
additional,23,8,2.875,2.6080324387991625,1.9554286761189623,2.610777522845187,0.8073544337010493
reason,20,7,2.857142857142857,2.1780916587770363,1.8370395477896793,2.408631991843541,0.79873860761468
beyond,7,6,1.1666666666666667,1.825276782848588,0.9477593610091233,2.1752721023412476,-0.43982776400096424
give,17,8,2.125,2.6413617586142877,1.6993734988405087,2.610777522845187,0.38934967881928456
us,34,13,2.6153846153846154,4.779772323802206,2.2865225403880136,3.3457600112148747,0.6764807871827015
selecting,38,8,4.75,2.5552645248761503,2.3807392188685124,2.610777522845187,1.501665054795513
focus,9,6,1.5,1.8053051819952584,1.1606420356136578,2.1752721023412476,-0.09230122240765451
full,10,7,1.4285714285714286,2.2434640013974523,1.2498905062421748,2.408631991843541,-0.1597699990057897
whole,30,11,2.727272727272727,3.909166947308549,2.1804997194293376,3.0928663958147458,0.7344090732578604
records,14,2,7.0,1.192392676912969,1.5349084025566282,0.5121458509569364,2.037881040731436
created,10,7,1.4285714285714286,2.2434640013974523,1.2498905062421748,2.408631991843541,-0.1597699990057897
could,66,12,5.5,4.206931090325111,2.8483838231560212,3.224587938285373,1.7043935599592468
run,17,6,2.8333333333333335,1.7486677593322508,1.6993734988405087,2.1752721023412476,0.7871666939482935
source,21,7,3.0,2.173323999807144,1.8783685741962868,2.408631991843541,0.8662073842128154
access,9,6,1.5,1.8053051819952584,1.1606420356136578,2.1752721023412476,-0.09230122240765451
evaluate,23,8,2.875,2.6080324387991625,1.9554286761189623,2.610777522845187,0.8073544337010493
samplers,12,1,12.0,2.650869234130247,1.404330905521504,-0.5371699849871888,2.7832245974537546
estimates,73,11,6.636363636363637,3.754023691219162,2.93377316633294,3.0928663958147458,1.9641123187793017
80,53,7,7.571428571428571,2.2006127119759493,2.6625666141964617,2.408631991843541,2.1463943852065928
relative,51,10,5.1,3.381700490644964,2.629982712027672,2.94858177084582,1.5999790272687473
fraction,13,9,1.4444444444444444,3.1125252569729787,1.4721332430501923,2.7890825177814342,-0.1444898920045148
200,27,10,2.7,3.478721684976106,2.091251248800821,2.94858177084582,0.7205111109127994
count,63,5,12.6,2.345263304420262,2.8089777873834496,1.899265934901694,2.8506933740518896
figure,157,8,19.625,3.5661660992317543,3.5824531904035912,2.610777522845187,3.463438136084356
openaq,13,1,13.0,2.9113818776869285,1.4721332430501923,-0.5371699849871888,2.8939105042193467
dataset,189,10,18.9,3.787476976173942,3.739587000570613,2.94858177084582,3.411384965543351
asrs,14,1,14.0,3.1723512312917093,1.5349084025566282,-0.5371699849871888,2.9963896473519056
proportional,105,11,9.545454545454545,3.714125006690217,3.241686429651625,3.0928663958147458,2.4667743212679425
parameter,39,12,3.25,4.3120195774964545,2.4027424562373554,3.224587938285373,0.9768932909784073
determine,21,9,2.3333333333333335,3.0645363982331473,1.8783685741962868,2.7890825177814342,0.5186808426195055
between,87,11,7.909090909090909,3.728366878935793,3.082391707571642,3.0928663958147458,2.206728998362435
37,17,7,2.4285714285714284,2.19436137613984,1.6993734988405087,2.408631991843541,0.5740016440501421
generate,29,7,4.142857142857143,2.147270580339907,2.151782494384479,2.408631991843541,1.3125499260987854
type,41,11,3.727272727272727,3.858936221476977,2.445105133791752,3.0928663958147458,1.1663719124652365
stratifying,11,6,1.8333333333333333,1.7875941634100148,1.3306255684213535,2.1752721023412476,0.18519336184731613
were,199,12,16.583333333333332,4.20614734553916,3.783260435849612,3.224587938285373,3.2305601990688806
specified,16,6,2.6666666666666665,1.7536346875965576,1.6480197754293502,2.1752721023412476,0.7033328078503631
five,9,6,1.5,1.8053051819952584,1.1606420356136578,2.1752721023412476,-0.09230122240765451
discussion,12,6,2.0,1.7796078007700256,1.404330905521504,2.1752721023412476,0.30551579272135426
difference,18,8,2.25,2.635339455942587,1.7477910771611622,2.610777522845187,0.46839036908380643
less,41,13,3.1538461538461537,4.7477148053702924,2.445105133791752,3.3457600112148747,0.9353635748256063
comparison,44,11,4.0,3.8464581186426976,2.504923651516363,3.0928663958147458,1.264024399341824
generally,19,10,1.9,3.521435983121933,1.7935901773210075,2.94858177084582,0.23458559851257504
fixed,66,8,8.25,2.5789979626412274,2.8483838231560212,2.610777522845187,2.2650851514507075
better,63,12,5.25,4.2169707488085795,2.8089777873834496,3.224587938285373,1.6400640256024277
nearly,7,6,1.1666666666666667,1.825276782848588,0.9477593610091233,2.1752721023412476,-0.43982776400096424
1k,16,2,8.0,1.4408440559517086,1.6480197754293502,0.5121458509569364,2.2225330059622936
performance,171,8,21.375,3.7974387637658893,3.6548086036953342,2.610777522845187,3.581556844398905
having,12,8,1.5,2.6742082962762694,1.404330905521504,2.610777522845187,-0.09230122240765451
sensitivity,33,6,5.5,1.7553476245529538,2.2612347816085165,2.1752721023412476,1.7043935599592468
makes,13,7,1.8571428571428572,2.220549668372045,1.4721332430501923,2.408631991843541,0.20303664958879517
evaluating,12,7,1.7142857142857142,2.227881070755732,1.404330905521504,2.408631991843541,0.09235074282320302
knowledge,48,8,6.0,2.5453181123448867,2.5786289886165137,2.610777522845187,1.8247159908332848
four,27,10,2.7,3.478721684976106,2.091251248800821,2.94858177084582,0.7205111109127994
2016,27,6,4.5,1.7337555192974885,2.091251248800821,2.1752721023412476,1.4268989757042763
errors,28,5,5.6,1.3957747358065578,2.122057444104133,1.899265934901694,1.7293101910689683
take,32,14,2.2857142857142856,5.233561005908837,2.2351688169768553,3.4579478277876654,0.49016775795221196
place,8,7,1.1428571428571428,2.260252413031539,1.0608707338818455,2.408631991843541,-0.46834084866825787
often,35,8,4.375,2.5622290566161117,2.311077216464462,2.610777522845187,1.3879432837734345
123456789,11,1,11.0,2.390962590857764,1.3306255684213535,-0.5371699849871888,2.6629021665797166
2error,11,1,11.0,2.390962590857764,1.3306255684213535,-0.5371699849871888,2.6629021665797166
remains,8,6,1.3333333333333333,1.8150128756359525,1.0608707338818455,2.1752721023412476,-0.25517579877010677
