,gram_count,document_count,Average_freq,maha_dist
n1x,11,1,11.0,2.390962590857764
1i2,26,1,26.0,6.318944313873694
propst,7,1,7.0,1.3643281590068304
wh,18,3,6.0,0.9515815033791849
language,38,3,12.666666666666666,2.4410935495587953
picking,10,1,10.0,2.1318835993066867
hyperparameters,9,1,9.0,1.8739755619519085
counted,6,1,6.0,1.1154109190450063
setups,13,1,13.0,2.9113818776869285
universal,6,1,6.0,1.1154109190450063
uuparser,10,1,10.0,2.1318835993066867
machamp,8,1,8.0,1.6177985932376384
external,28,2,14.0,2.9329081486905686
maria,6,1,6.0,1.1154109190450063
linguistics,28,2,14.0,2.9329081486905686
raw,11,2,5.5,0.820148524449224
ahmad,12,2,6.0,0.9441418324274715
lynn,16,2,8.0,1.4408440559517086
behaviors,11,1,11.0,2.390962590857764
humans,7,1,7.0,1.3643281590068304
pgnn,7,1,7.0,1.3643281590068304
ast,30,1,30.0,7.370233093979498
comprehension,9,1,9.0,1.8739755619519085
clone,20,1,20.0,4.743529696951736
programming,38,2,19.0,4.176801738137995
allamanis,9,1,9.0,1.8739755619519085
summarization,21,1,21.0,5.005912501496326
api,13,1,13.0,2.9113818776869285
edges,22,1,22.0,5.268384677972932
oov,8,1,8.0,1.6177985932376384
gnn,10,1,10.0,2.1318835993066867
embedding,14,1,14.0,3.1723512312917093
subgraphs,6,1,6.0,1.1154109190450063
subgraph,22,1,22.0,5.268384677972932
feng,8,1,8.0,1.6177985932376384
codexglue,11,1,11.0,2.390962590857764
functionalities,10,1,10.0,2.1318835993066867
subtoken,11,1,11.0,2.390962590857764
getlarger,6,1,6.0,1.1154109190450063
alon,7,1,7.0,1.3643281590068304
edge,8,1,8.0,1.6177985932376384
node,13,1,13.0,2.9113818776869285
plbart,11,1,11.0,2.390962590857764
codebert,11,1,11.0,2.390962590857764
vocabulary,10,1,10.0,2.1318835993066867
memberreference,8,1,8.0,1.6177985932376384
csn,10,1,10.0,2.1318835993066867
tlc,12,1,12.0,2.650869234130247
bcb,20,1,20.0,4.743529696951736
corr,6,1,6.0,1.1154109190450063
disadvantage,12,1,12.0,2.650869234130247
implicitly,15,1,15.0,3.433673162565237
iss,53,1,53.0,13.420699003888648
simulation,6,1,6.0,1.1154109190450063
modest,9,1,9.0,1.8739755619519085
proportionate,6,1,6.0,1.1154109190450063
madow,8,1,8.0,1.6177985932376384
wolter,8,1,8.0,1.6177985932376384
hy,19,2,9.5,1.8137168446642986
eleven,13,1,13.0,2.9113818776869285
integer,25,2,12.5,2.5597906360015275
arthritis,9,1,9.0,1.8739755619519085
dissertation,11,1,11.0,2.390962590857764
ahsan,10,1,10.0,2.1318835993066867
compromise,48,1,48.0,12.104960077002355
nfj,13,1,13.0,2.9113818776869285
cq,7,1,7.0,1.3643281590068304
whsh,8,1,8.0,1.6177985932376384
sukhatme,8,1,8.0,1.6177985932376384
1967,6,1,6.0,1.1154109190450063
chatterjee,10,1,10.0,2.1318835993066867
nlpp,19,1,19.0,4.481251962875712
off,10,1,10.0,2.1318835993066867
rounding,6,1,6.0,1.1154109190450063
integers,8,1,8.0,1.6177985932376384
ck,7,1,7.0,1.3643281590068304
fl,7,1,7.0,1.3643281590068304
nres,14,1,14.0,3.1723512312917093
float,16,1,16.0,3.695272871609357
flk,8,1,8.0,1.6177985932376384
hth,7,1,7.0,1.3643281590068304
yhi,6,1,6.0,1.1154109190450063
sh2,27,1,27.0,6.581711795782485
nh2,6,1,6.0,1.1154109190450063
corollary,6,1,6.0,1.1154109190450063
h2,6,1,6.0,1.1154109190450063
nhsh2,11,1,11.0,2.390962590857764
opty,9,1,9.0,1.8739755619519085
nhsh,17,1,17.0,3.9570952679550113
propy,8,1,8.0,1.6177985932376384
rany,14,1,14.0,3.1723512312917093
kzn,76,1,76.0,19.47423603137285
ykyy,16,1,16.0,3.695272871609357
yy,7,1,7.0,1.3643281590068304
ykmstzo,8,1,8.0,1.6177985932376384
mwtztmkw,26,1,26.0,6.318944313873694
wsv,10,1,10.0,2.1318835993066867
vuk,10,1,10.0,2.1318835993066867
22n,30,1,30.0,7.370233093979498
t1,35,1,35.0,8.684966041083632
r243146,10,1,10.0,2.1318835993066867
42u,16,1,16.0,3.695272871609357
zo135,11,1,11.0,2.390962590857764
zkw,16,1,16.0,3.695272871609357
jio,13,1,13.0,2.9113818776869285
qjio,6,1,6.0,1.1154109190450063
ð,17,1,17.0,3.9570952679550113
ytm,9,1,9.0,1.8739755619519085
ðstms,6,1,6.0,1.1154109190450063
ðon,6,1,6.0,1.1154109190450063
z1,8,1,8.0,1.6177985932376384
534,10,1,10.0,2.1318835993066867
kzmo,9,1,9.0,1.8739755619519085
zo,9,1,9.0,1.8739755619519085
zwþ,8,1,8.0,1.6177985932376384
zknt,6,1,6.0,1.1154109190450063
ywþ,6,1,6.0,1.1154109190450063
io,8,1,8.0,1.6177985932376384
sowwoþ,6,1,6.0,1.1154109190450063
w1,20,1,20.0,4.743529696951736
wtoj,16,1,16.0,3.695272871609357
μ,7,1,7.0,1.3643281590068304
ˆr,8,1,8.0,1.6177985932376384
