,gram_count,document_count,Average_freq,maha_dist
βelements,8,1,8.0,1.6177985932376384
evicting,8,1,8.0,1.6177985932376384
9,54,13,4.153846153846154,4.69264456822564
10,101,16,6.3125,5.8556690308191355
11,116,16,7.25,5.81257650015209
amount,20,6,3.3333333333333335,1.7375165661556542
get,43,9,4.777777777777778,2.9719335437816876
takes,6,6,1.0,1.8360875757937958
special,9,6,1.5,1.8053051819952584
use,125,18,6.944444444444445,6.669350030669542
lemma,11,1,11.0,2.390962590857764
presents,21,5,4.2,1.3261288048258812
cost,156,12,13.0,4.1101115966876804
expected,22,9,2.4444444444444446,3.0590559080741744
low,16,7,2.2857142857142856,2.2004321166318164
still,22,9,2.4444444444444446,3.0590559080741744
because,64,13,4.923076923076923,4.654339988723543
necessary,16,7,2.2857142857142856,2.2004321166318164
reduced,12,6,2.0,1.7796078007700256
affect,7,6,1.1666666666666667,1.825276782848588
parameters,89,13,6.846153846153846,4.574616567108727
program,32,4,8.0,1.4511848556585465
subject,14,6,2.3333333333333335,1.7654126876339178
approaches,45,7,6.428571428571429,2.1611225081377246
application,15,7,2.142857142857143,2.206822273529007
items,15,8,1.875,2.6539573180616016
would,113,14,8.071428571428571,4.947783276123434
min,21,3,7.0,1.1620097555575348
required,31,10,3.1,3.4592578008400032
direct,8,6,1.3333333333333333,1.8150128756359525
implementation,6,6,1.0,1.8360875757937958
apply,16,6,2.6666666666666665,1.7536346875965576
overall,22,10,2.2,3.504834378142861
search,14,6,2.3333333333333335,1.7654126876339178
feasible,18,2,9.0,1.6894074974933044
ways,13,6,2.1666666666666665,1.7722115033939791
oversized,23,1,23.0,5.530933502877365
impact,26,5,5.2,1.3697841357504765
last,17,9,1.8888888888888888,3.08761846323912
l,214,11,19.454545454545453,4.066621312358844
consideration,16,7,2.2857142857142856,2.2004321166318164
output,19,5,3.8,1.3177038226776527
j,98,8,12.25,2.7921037027522986
remaining,14,5,2.8,1.3200996638193465
again,19,8,2.375,2.6295024999199064
statement,15,6,2.5,1.7592182807292909
context,19,5,3.8,1.3177038226776527
clear,16,8,2.0,2.647568143136568
corresponding,25,12,2.0833333333333335,4.379096566505573
20,98,12,8.166666666666666,4.126488740240285
24,33,11,3.0,3.8947786657050476
50,66,16,4.125,5.976925161641767
45,38,6,6.333333333333333,1.790262339467854
60,63,8,7.875,2.568833043541426
54,14,5,2.8,1.3200996638193465
formula,21,8,2.625,2.6183895465988156
minimizing,14,5,2.8,1.3200996638193465
therefore,61,13,4.6923076923076925,4.665454621109996
becomes,13,6,2.1666666666666665,1.7722115033939791
numbers,29,5,5.8,1.4104754964035122
q,76,5,15.2,2.815149798648054
x,114,12,9.5,4.105075619498473
y,299,13,23.0,4.8715671021350655
z,171,4,42.75,8.912742664036642
12,127,16,7.9375,5.784466999792566
exist,10,6,1.6666666666666667,1.7961627204265262
13,69,13,5.3076923076923075,4.636541846979512
procedure,75,12,6.25,4.179341758304118
w,133,11,12.090909090909092,3.734267380752845
similar,42,12,3.5,4.298737361553525
provide,33,11,3.0,3.8947786657050476
linear,8,6,1.3333333333333333,1.8150128756359525
21,48,11,4.363636363636363,3.830651073300935
require,12,7,1.7142857142857142,2.227881070755732
just,16,11,1.4545454545454546,3.9829353987485723
27,29,8,3.625,2.5815838422813266
43,25,9,2.7777777777777777,3.043320581203494
those,40,10,4.0,3.420216215590145
